Group,Item,Value,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10
Group_1,Item_1,45,14,5,33,38,37,16,49,46,32,38
Group_1,Item_2,13,39,37,7,23,28,6,25,24,32,36
Group_1,Item_3,153,41,10,16,9,8,12,36,38,40,46
Group_1,Item_4,176,27,23,48,17,24,11,43,13,39,37
Group_1,Item_5,192,8,16,28,44,29,18,34,16,39,8
Group_1,Item_6,163,31,10,35,7,5,45,29,22,19,41
Group_1,Item_7,22,5,32,26,33,32,8,24,46,48,29
Group_1,Item_8,134,19,42,32,7,35,16,23,9,34,13
Group_1,Item_9,161,8,17,31,27,7,47,7,27,25,7
Group_1,Item_10,56,30,45,16,41,36,47,28,26,46,32
Group_1,Item_11,191,43,33,49,43,43,14,46,32,17,47
Group_1,Item_12,190,48,49,46,47,5,20,46,11,13,30
Group_1,Item_13,19,42,32,38,13,39,24,19,18,10,24
Group_1,Item_14,163,37,12,25,33,27,23,26,17,17,23
Group_1,Item_15,101,22,18,38,23,15,36,22,39,18,43
Group_1,Item_16,50,26,28,28,41,28,26,27,46,27,9
Group_1,Item_17,157,35,41,8,32,19,48,40,9,14,20
Group_1,Item_18,96,11,37,21,16,43,36,25,41,43,23
Group_1,Item_19,145,20,32,30,8,12,29,46,37,38,14
Group_1,Item_20,185,8,21,42,5,46,44,40,29,15,41
Group_1,Item_21,150,45,24,19,47,37,20,23,14,48,40
Group_1,Item_22,111,34,46,24,27,38,25,29,10,37,30
Group_1,Item_23,106,38,38,40,34,10,35,19,38,26,34
Group_1,Item_24,91,37,32,34,49,47,40,11,8,8,33
Group_1,Item_25,143,41,30,16,33,6,10,26,19,43,29
Group_1,Item_26,178,13,6,7,34,34,15,10,41,10,5
Group_1,Item_27,141,8,18,30,15,38,5,30,28,41,40
Group_1,Item_28,153,16,20,13,25,36,19,8,21,35,23
Group_1,Item_29,166,21,36,30,48,43,25,25,11,32,23
Group_1,Item_30,118,24,32,24,32,42,26,38,13,46,11
Group_2,Item_1,44,40,45,5,22,28,6,10,6,15,15
Group_2,Item_2,42,17,14,12,18,32,29,16,47,17,7
Group_2,Item_3,189,38,16,9,30,19,47,21,10,22,21
Group_2,Item_4,166,27,42,7,46,29,10,8,10,38,25
Group_2,Item_5,91,34,33,9,18,8,22,41,16,41,47
Group_2,Item_6,65,38,28,46,22,26,37,35,25,37,31
Group_2,Item_7,106,5,6,49,44,15,48,38,46,25,25
Group_2,Item_8,148,31,37,25,38,24,49,31,40,5,22
Group_2,Item_9,29,35,48,12,22,32,49,34,8,14,15
