Group,Item,Value,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10
Group_1,Item_1,94,7,8,4,5,8,7,4,7,7,3
Group_1,Item_2,48,5,2,5,1,1,7,7,5,4,6
Group_1,Item_3,42,5,5,9,4,2,9,6,4,6,6
Group_1,Item_4,93,7,9,8,3,7,5,5,9,2,2
Group_1,Item_5,74,1,3,8,1,4,7,7,3,9,7
Group_1,Item_6,52,1,6,9,8,3,2,3,4,1,6
Group_1,Item_7,86,2,4,7,5,8,4,9,8,2,6
Group_1,Item_8,82,9,5,7,1,9,3,3,9,9,3
Group_1,Item_9,71,4,5,5,8,3,7,6,7,9,9
Group_1,Item_10,55,6,5,2,4,5,1,5,7,2,8
Group_1,Item_11,80,8,5,6,9,8,3,9,1,6,7
Group_1,Item_12,92,5,5,3,1,5,9,3,9,6,4
Group_1,Item_13,92,4,8,7,9,7,5,7,4,2,5
Group_1,Item_14,20,1,2,4,8,4,1,2,4,2,5
Group_1,Item_15,72,7,3,3,1,6,3,5,4,9,1
Group_1,Item_16,60,9,1,3,7,5,2,8,4,2,7
Group_1,Item_17,62,9,5,9,9,3,9,4,4,9,3
Group_1,Item_18,45,9,9,8,3,7,6,2,5,3,5
Group_1,Item_19,35,4,3,6,9,4,9,9,6,1,5
Group_1,Item_20,82,8,4,9,9,2,4,6,5,4,1
Group_1,Item_21,60,9,4,5,3,6,7,8,6,5,3
Resource Constraints,,,162,46,114,113,72,145,248,38,120,71
