Group,Item,Value,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10
Group_1,Item_1,94,7,8,4,5,8,7,4,7,7,3
Group_1,Item_2,48,5,2,5,1,1,7,7,5,4,6
Group_1,Item_3,42,5,5,9,4,2,9,6,4,6,6
Group_1,Item_4,93,7,9,8,3,7,5,5,9,2,2
Group_1,Item_5,74,1,3,8,1,4,7,7,3,9,7
Group_1,Item_6,52,1,6,9,8,3,2,3,4,1,6
Group_1,Item_7,86,2,4,7,5,8,4,9,8,2,6
Group_1,Item_8,82,9,5,7,1,9,3,3,9,9,3
Group_1,Item_9,71,4,5,5,8,3,7,6,7,9,9
Group_1,Item_10,55,6,5,2,4,5,1,5,7,2,8
Group_1,Item_11,80,8,5,6,9,8,3,9,1,6,7
Group_1,Item_12,92,5,5,3,1,5,9,3,9,6,4
Group_1,Item_13,92,4,8,7,9,7,5,7,4,2,5
Group_1,Item_14,20,1,2,4,8,4,1,2,4,2,5
Group_1,Item_15,72,7,3,3,1,6,3,5,4,9,1
Group_1,Item_16,60,9,1,3,7,5,2,8,4,2,7
Group_1,Item_17,62,9,5,9,9,3,9,4,4,9,3
Group_1,Item_18,45,9,9,8,3,7,6,2,5,3,5
Group_1,Item_19,35,4,3,6,9,4,9,9,6,1,5
Group_1,Item_20,82,8,4,9,9,2,4,6,5,4,1
Group_1,Item_21,60,9,4,5,3,6,7,8,6,5,3
Group_1,Item_22,66,2,3,7,8,6,4,3,4,5,4
Group_2,Item_1,21,4,8,8,4,6,2,2,3,8,9
Group_2,Item_2,75,3,4,5,5,9,4,7,9,2,7
Group_2,Item_3,81,3,4,5,2,2,6,8,2,4,3
Group_2,Item_4,51,4,3,7,8,8,8,9,9,4,8
Group_2,Item_5,31,3,8,8,5,8,5,7,4,1,4
Group_2,Item_6,75,9,7,2,7,3,1,2,4,7,4
Group_2,Item_7,77,6,9,9,1,8,6,6,6,4,4
Group_2,Item_8,64,4,1,2,2,2,9,1,5,7,3
Group_2,Item_9,63,7,6,2,9,5,5,7,8,9,4
Group_2,Item_10,96,4,3,7,6,3,6,9,5,8,3
Group_2,Item_11,18,2,4,6,8,7,2,6,7,7,8
Group_2,Item_12,65,8,9,5,3,7,3,4,1,8,4
Group_2,Item_13,69,4,2,1,8,6,5,3,4,2,2
Group_2,Item_14,23,5,1,4,6,8,6,3,3,5,4
Group_2,Item_15,30,3,8,6,3,4,3,1,7,7,1
Group_2,Item_16,53,8,1,1,3,1,1,5,8,3,9
Group_2,Item_17,76,7,4,2,8,1,6,8,6,8,1
Group_2,Item_18,20,2,4,4,4,8,7,4,2,8,3
Group_2,Item_19,46,4,6,9,8,7,7,3,9,4,8
Group_3,Item_1,75,7,8,4,7,9,1,7,9,6,8
Group_3,Item_2,53,9,3,3,6,5,8,7,3,8,8
Group_3,Item_3,39,8,7,2,6,1,3,8,1,5,5
Group_3,Item_4,75,3,6,4,1,4,5,2,9,5,4
Group_3,Item_5,56,6,1,3,1,7,9,4,5,3,2
Group_3,Item_6,95,3,3,1,7,8,9,6,9,9,8
Group_3,Item_7,93,8,1,9,5,3,5,3,3,6,6
Group_3,Item_8,67,6,6,8,8,7,2,2,8,5,2
Group_3,Item_9,98,1,7,2,8,3,5,6,7,7,6
Group_3,Item_10,20,6,7,5,7,4,9,4,8,4,8
Group_3,Item_11,61,9,3,8,6,3,6,1,1,4,9
Group_3,Item_12,80,6,3,9,6,5,9,3,6,6,9
Group_3,Item_13,24,7,9,6,9,6,5,1,7,8,9
Group_3,Item_14,27,9,9,5,6,9,7,3,8,3,2
Group_3,Item_15,30,7,7,9,4,9,6,1,3,3,9
Group_3,Item_16,40,9,6,7,8,8,5,5,6,3,2
Group_3,Item_17,75,4,4,4,7,9,5,8,7,2,1
Group_3,Item_18,26,3,7,5,3,1,5,8,9,4,4
Group_3,Item_19,57,2,3,1,2,2,1,1,8,5,4
Group_3,Item_20,55,3,3,8,6,6,8,8,5,1,6
Group_3,Item_21,27,3,9,5,5,8,3,3,8,8,9
Group_3,Item_22,83,2,7,8,3,8,5,6,9,1,6
Group_3,Item_23,42,8,6,8,7,7,7,4,7,8,7
Group_3,Item_24,66,7,1,5,5,5,1,6,2,4,4
Group_3,Item_25,95,4,6,8,3,4,9,8,4,9,9
Group_4,Item_1,49,3,7,6,8,5,7,9,1,2,1
Group_4,Item_2,94,9,8,8,2,6,1,9,1,7,5
Group_4,Item_3,69,4,9,5,3,1,5,7,6,8,1
Group_4,Item_4,17,4,9,7,2,2,2,1,5,7,5
Group_4,Item_5,53,3,6,4,8,5,7,8,4,9,7
Group_4,Item_6,80,2,2,2,2,9,5,1,7,1,9
Group_4,Item_7,42,5,9,2,1,5,7,7,7,5,9
Group_4,Item_8,19,4,4,8,8,1,9,8,8,3,3
Group_4,Item_9,24,6,7,2,2,1,6,2,9,3,5
Group_4,Item_10,37,4,9,7,6,7,5,8,6,8,1
Group_4,Item_11,83,9,6,1,9,4,4,9,9,7,9
Group_4,Item_12,64,5,9,7,1,9,1,9,7,2,8
Group_4,Item_13,32,2,2,9,1,5,1,1,7,7,3
Group_4,Item_14,97,4,9,2,7,9,8,2,7,6,1
Group_4,Item_15,88,9,4,2,6,8,8,3,7,4,6
Group_4,Item_16,93,5,9,9,3,1,1,3,8,8,8
Group_4,Item_17,36,7,7,4,7,5,7,4,2,1,2
Group_4,Item_18,29,3,6,5,9,1,6,6,8,6,5
Group_4,Item_19,55,4,4,3,7,4,3,3,3,1,3
Group_4,Item_20,11,2,4,6,4,3,3,6,9,4,1
Group_4,Item_21,38,4,5,8,5,2,4,6,2,3,4
Group_4,Item_22,34,6,1,6,4,2,6,3,1,6,9
Group_4,Item_23,43,3,4,4,8,6,8,7,9,8,1
Group_4,Item_24,91,6,2,4,5,7,4,1,2,7,8
Group_4,Item_25,30,1,4,3,9,7,9,8,4,5,6
Group_4,Item_26,58,7,7,4,1,4,4,2,1,8,3
Group_4,Item_27,49,9,4,7,5,4,9,4,8,8,8
Group_4,Item_28,64,1,7,9,7,8,3,2,4,6,4
Group_5,Item_1,74,5,5,9,5,3,8,4,2,1,1
Group_5,Item_2,59,3,9,6,8,4,8,6,6,2,3
Group_5,Item_3,19,6,2,3,8,9,1,6,5,8,9
Group_5,Item_4,50,6,7,8,7,4,1,2,6,5,4
